Lote;Producto;Emision;Tren_ID;Producto_ID
56088;Diclogesic Gel VL POMOx50g TROQ.;6/6/2025 10:02:55;0;79
56089;Diclogesic Gel VL POMOx50g TROQ.;6/6/2025 10:03:02;0;79
56090;Diclofenac TRB Pharma 75mg CR;10/6/2025 07:17:56;7;31
56091;Diclofenac TRB Pharma 75mg CR;10/6/2025 07:18:06;7;31
56092;Diclofenac TRB Pharma 75mg CR;10/6/2025 07:18:14;7;31
56093;Diclofenac TRB Pharma 75mg CR;10/6/2025 07:18:22;7;31
56094;Ibuprofeno TRB Pharma 600mg COMP.;10/12/2025 07:32;2;45
56095;Ibuprofeno TRB Pharma 600mg COMP.;10/6/2025 07:32:26;2;45
56096;Ibuprofeno TRB Pharma 600mg COMP.;10/6/2025 07:32:33;2;45
56097;Circonyl NAC. CR;10/6/2025 08:04:14;6;24
56098;Artrodar THAILANDIA CÁP.;10/6/2025 08:05:09;3;11
56099;Artrodar CHINA CÁP.;10/6/2025 08:07:41;3;2
56100;Artrodar CHINA CÁP.;10/6/2025 08:07:52;3;2
56101;Cetaxim 500mg CR;13/6/2025 08:03:26;6;23
56102;Cetaxim 500mg CR;13/6/2025 08:03:40;6;23
56103;Polirreumin CR;17/6/2025 12:13:15;6;61
56104;Polirreumin CR;17/6/2025 12:13:29;6;61
56105;Polirreumin CR;17/6/2025 12:13:39;6;61
56106;Polirreumin CR;17/6/2025 12:13:50;6;61
56107;Polirreumin CR;17/6/2025 12:13:59;6;61
56108;Polirreumin CR;17/6/2025 12:14:20;6;61
56109;Polirreumin CR;17/6/2025 12:14:31;6;61
56110;Artrait SC 15mg FCO.AMP.x0,6ml;18/6/2025 14:29:13;0;86
56111;Artrodarin RUSIA CÁP.;23/6/2025 07:33:33;3;13
56112;Polirreumin CR;23/6/2025 07:40:19;6;61
56113;Ultraflex Lata x 300g;24/6/2025 13:52:27;0;75
56114;Polirreumin CR;23/6/2025 07:40:26;6;61
56115;Ultraflex Lata x 300g;24/6/2025 13:52:44;0;75
